@relation poblaciones

@attribute c0 {0, 1}
@attribute c1 {0, 1}
@attribute c2 {0, 1}
@attribute c3 {0, 1}
@attribute c4 {0, 1}
@attribute c5 {0, 1}
@attribute c6 {0, 1}
@attribute c7 {0, 1}
@attribute c8 {0, 1}
@attribute c9 {0, 1}
@attribute mutationProb numeric
@attribute refoodCap numeric
@attribute alimentCost numeric
@attribute movementCap numeric
@attribute generation integer
@attribute size integer
@attribute success {no, yes}

@data
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 1.0, 0.065, 0.1, 0, 101, yes
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.3996, 1.9182, -0.8532, 0.6933, 1, 1, no
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 1, 1024, yes
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1.4447, 1.3567, -0.396, 0.3355, 1, 1, no
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1.3285999, 1.3082, -0.2432, -0.7414, 1, 1, no
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0291, 1.7242, 0.7892, 0.0022, 1, 1, no
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.3816, 1.5694001, -0.5044, 0.6372, 1, 1, no
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1.3285999, 1.3082, -0.2432, -0.7414, 1, 1, no
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.3996, 1.9182, -0.8532, 0.6933, 1, 1, no
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -0.08969998, 1.3436999, 0.4087, 1.0824, 1, 13, yes
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.3996, 1.9182, -0.8532, 0.6933, 1, 1, no
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 1, 512, yes
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -0.25169998, 1.3567, -0.2917, 0.87700003, 1, 512, yes
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0291, 1.7242, 0.7892, 0.0022, 1, 1, no
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.3996, 1.9182, -0.8532, 0.6933, 1, 1, no
